exec_step,phase,gate_id,step_name,step_type,run_command,pass_criteria,evidence_output,owner,status
11,industry_match,G03,CITIC回退可用性检查-新,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py shell -c \"from pathlib import Path; from django.conf import settings; from valuation_api.business_industry_matcher import BusinessIndustryMatcher; m=BusinessIndustryMatcher(Path(settings.BASE_DIR),'CN'); r=m.match_by_tscode('688002.SH',top_n=3,level='L2'); print(r['citic_profile']); print(r['citic_mappings'][:3])\"",citic_profile.available=True且source可追踪,reports/exec_logs/step11_new_citic_profile.txt,估值研发,TODO
12,industry_match,G04,业务文本缺失样本识别,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py shell -c \"from valuation_api.models import CompanyProfile; qs=CompanyProfile.objects.filter(main_business='').values_list('ts_code',flat=True)[:50]; print(list(qs))\"",输出缺失样本列表,reports/text_missing_candidates_20260322.txt,数据,TODO
13,industry_match,G04,文本缺失样本新旧比对,manual,"对缺失样本分别执行新旧business match并比较前三行业",无系统性漂移或给出兜底方案,reports/text_missing_parity_report_20260322.csv,估值研发,TODO
14,valuation_method,G05,方法覆盖回归-新,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 688002.SH --trade-date 2026-03-20 --show-source",method列包含 market_cap pe ps pb peg ev_ebitda fcff_dcf ddm,reports/exec_logs/step14_new_methods.txt,估值研发,DONE
15,valuation_method,G06,银行EVEBITDA行为-新,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 600036.SH --trade-date 2026-03-20 --scenario-model ev_ebitda --show-profit-source --show-source",不崩溃且effective_scenario_model自动切换,reports/exec_logs/step15_new_bank_evebitda.txt,估值研发,IN_PROGRESS
16,valuation_method,G06,银行EVEBITDA行为-老,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/smartinvestor_be; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 600036.SH --trade_date 2026-03-20 --est_method ev_ebitda --show-profit-source --show-source",需不崩溃并有明确策略；若失败需登记缺陷单,reports/exec_logs/step16_old_bank_evebitda.txt,估值研发,TODO
17,valuation_method,G07,PEG边界样本回归,manual,"选取负增长/高增长样本，检查peg_quality_flag与skip语义",不出现异常估值和未捕获异常,reports/peg_boundary_regression_20260322.csv,估值研发,TODO
18,data_source,G08,新项目数据时效检查,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py shell -c \"from valuation_api.models import StockTradingHistory,StockFundamentalSnapshot,StockExpressVip; from django.db.models import Max; print('trading',StockTradingHistory.objects.aggregate(Max('trade_date'))); print('fund',StockFundamentalSnapshot.objects.aggregate(Max('trade_date'))); print('express_ann',StockExpressVip.objects.aggregate(Max('ann_date')))\"",关键表最新日期满足T+1并形成日报,reports/exec_logs/step18_data_freshness.txt,数据,TODO
19,data_source,G09,Tushare兜底健康检查,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py estmktv --tscode 600519.SH --trade-date 2026-03-20 --show-profit-source --show-source",financial_data_source可用且无系统性reason错误,reports/exec_logs/step19_tushare_fallback_health.txt,估值研发,TODO
20,persistence,G10,新项目估值快照主键与维度抽查,auto,"Set-Location c:/Users/HANJ29/Development/code/sms/valuation_service_django; c:/Users/HANJ29/Development/vdev1/Scripts/python.exe manage.py shell -c \"from valuation_api.models import ValuationSnapshot; from django.db.models import Count; dup=ValuationSnapshot.objects.values('ts_code','trade_date','market','valuation_method','valuation_variant').annotate(c=Count('id')).filter(c__gt=1).count(); print('dup',dup); print('rows',ValuationSnapshot.objects.count())\"",dup=0且关键维度字段可用,reports/exec_logs/step20_snapshot_pk_check.txt,数据,TODO
21,persistence,G11,金额精度评审,manual,"对同一批快照计算聚合误差（Float vs Decimal）并评审",审计方接受当前精度或确定迁移方案,reports/precision_review_20260322.md,数据治理,TODO
22,migration,G12,历史快照迁移行数核对,auto,"分别统计新旧 history/latest 快照行数并导出",行数偏差在约定阈值内且抽样一致,reports/migration_rowcount_compare_20260322.csv,数据,TODO
23,migration,G12,历史快照抽样一致性核对,manual,"随机抽取100条ts_code+date+method做值比对",关键字段一致率>=99%,reports/migration_sample_compare_20260322.csv,数据,TODO
24,cli,G13,CLI参数兼容验证,auto,"验证 runbook 中新旧命令参数可直接执行（--trade-date/--trade_date）",无误用和参数报错,reports/cli_compat_check_20260322.md,平台,TODO
25,observability,G14,诊断字段完整性检查,auto,"运行 --show-profit-source 并检查 express/profit 字段输出完整",诊断字段满足排障最小集合,reports/observability_field_check_20260322.csv,估值研发,TODO
26,api,G15,full接口回归,auto,"调用 /api/stocks/{ts_code}/valuation/full GET+POST（含mixed input）",返回200且resolved_params回显正确,reports/api_full_regression_20260322.csv,后端,TODO
27,overall,G16,30+样本端到端汇总,manual,"汇总 G01-G15 的样本结果形成通过率",端到端通过率达到预设阈值并有遗留清单,reports/e2e_parity_summary_30plus_20260322.csv,估值研发,TODO
28,overall,G17,迁移放行评审,manual,"组织产品/数据/研发评审并确认回滚预案",三方签字且风险闭环,docs/go_live_review_minutes_20260322.md,负责人,TODO
